id,bin,containment_id,created_at,updated_at,deleted_at
124,B000221,C005293,,,
125,B000224,C004754,,,
126,B000225,C004897,,,
127,B000226,C000328,,,
128,B000227,C005120,,,
129,B000228,C005108,,,
130,B000229,C004756,,,
131,B000230,C004793,,,
132,B000233,C005265,,,
133,B000234,C005291,,,
134,B000235,C010552,,,
135,B000236,C005267,,,
136,B000237,C005300,,,
137,B000238,C004785,,,
138,B000239,C004884,,,
139,B000240,C004768,,,
140,B000241,C005261,,,
141,B000242,C004769,,,
142,B000245,C000329,,,
143,B000246,C005292,,,
144,B000247,C005111,,,
145,B000249,C004809,,,
146,B000250,C000327,,,
147,B000251,C004807,,,
148,B000252,C004794,,,
149,B000253,C005266,,,
150,B000254,C004787,,,
151,B000255,C005121,,,
152,B000256,C004771,,,
153,B000257,C005109,,,
154,B000258,C004786,,,
155,B000259,C005301,,,
156,B000260,C004755,,,
157,B000261,C006535,,,
158,B000263,C005284,,,
159,B000264,C005285,,,
160,B000265,C005270,,,
161,B000266,C005099,,,
162,B000267,C005263,,,
163,B000268,C005139,,,
164,B000269,C000325,,,
165,B000272,C005268,,,
166,B000273,C006538,,,
167,B000275,C006549,,,
168,B000276,C005247,,,
169,B000278,C004885,,,
170,B000279,C005110,,,
171,B000283,C005271,,,
172,B000284,C005283,,,
173,B000285,C004770,,,
174,B000286,C005302,,,
175,B000288,C006536,,,
176,B000289,C005122,,,
177,B000290,C010553,,,
178,B000291,C006513,,,
179,B000292,C006534,,,
180,B000293,C005147,,,
181,B000295,C005269,,,
182,B000296,C005264,,,
183,B000297,C000330,,,
184,B000298,C005248,,,
185,B000299,C005118,,,
186,B000300,C005115,,,
187,B000301,C005239,,,
188,B000302,C000331,,,
189,B000303,C004886,,,
190,B000304,C005303,,,
191,B000305,C006496,,,
192,B000306,C000324,,,
193,B000307,C006533,,,
194,B000309,C004792,,,
195,B000311,C004913,,,
196,B000312,C004789,,,
197,B000313,C004914,,,
198,B000315,C005280,,,
199,B000317,C005249,,,
200,B000318,C000320,,,
201,B000319,C006512,,,
202,B000321,C004810,,,
203,B000322,C006537,,,
204,B000323,C004751,,,
205,B000325,C000326,,,
206,B000328,C000332,,,
207,B000330,C006515,,,
208,B000333,C004808,,,
209,B000335,C004790,,,
210,B000337,C005304,,,
211,B000338,C005240,,,
212,B000339,C010632,,,
213,B000341,C006495,,,
214,B000343,C005116,,,
215,B000344,C006514,,,
216,B000345,C005250,,,
217,B000346,C004750,,,
218,B000347,C005117,,,
219,B000350,C006516,,,
220,B000351,C005138,,,
221,B000352,C006532,,,
222,B000354,C006504,,,
223,B000358,C004887,,,
224,B000359,C005272,,,
225,B000361,C005236,,,
226,B000362,C000333,,,
227,B000363,C005135,,,
228,B000364,C005251,,,
229,B000366,C006539,,,
230,B000367,C000386,,,
231,B000369,C005136,,,
232,B000373,C010957,,,
233,B000374,C006517,,,
234,B000375,C006503,,,
235,B000376,C010550,,,
236,B000378,C005238,,,
237,B000380,C005215,,,
238,B000382,C005305,,,
239,B000383,C004730,,,
240,B000384,C001802,,,
241,B000385,C005235,,,
242,B000386,C004911,,,
243,B000388,C006518,,,
244,B000390,C010303,,,
245,B000391,C005252,,,
246,B000392,C005245,,,
247,B000394,C004737,,,
248,B000395,C006486,,,
249,B000398,C005218,,,
250,B000399,C000334,,,
251,B000400,C005131,,,
252,B000402,C004915,,,
253,B000403,C005133,,,
254,B000407,C005237,,,
255,B000408,C005253,,,
256,B000409,C010635,,,
257,B000410,C006502,,,
258,B000411,C006529,,,
259,B000412,C004791,,,
260,B000414,C004738,,,
261,B000415,C005130,,,
262,B000416,C010637,,,
263,B000417,C000321,,,
264,B000419,C010570,,,
265,B000422,C004950,,,
266,B000423,C005134,,,
267,B000424,C004731,,,
268,B000425,C005246,,,
269,B000427,C010636,,,
270,B000428,C006489,,,
271,B000429,C000323,,,
272,B000431,C005217,,,
273,B000432,C011262,,,
274,B000433,C005254,,,
275,B000434,C006531,,,
276,B000435,C005132,,,
277,B000436,C010569,,,
278,B000437,C004889,,,
279,B000438,C004739,,,
280,B000440,C006540,,,
281,B000442,C006530,,,
282,B000443,C005234,,,
283,B000444,C005219,,,
284,B000445,C010549,,,
285,B000448,C005211,,,
286,B000449,C004732,,,
287,B000450,C006541,,,
288,B000451,C005256,,,
289,B000452,C010954,,,
290,B000453,C004917,,,
291,B000454,C005241,,,
292,B000455,C005274,,,
293,B000456,C004874,,,
294,B000458,C006520,,,
295,B000459,C006542,,,
296,B000460,C004949,,,
297,B000463,C004811,,,
298,B000464,C004740,,,
299,B000465,C004876,,,
300,B000466,C004916,,,
301,B000467,C010885,,,
302,B000468,C006566,,,
303,B000470,C005193,,,
304,B000472,C004875,,,
305,B000473,C004734,,,
306,B000474,C005221,,,
307,B000475,C006519,,,
308,B000476,C005242,,,
309,B000478,C000322,,,
310,B000479,C006499,,,
311,B000480,C004741,,,
312,B000481,C006487,,,
313,B000482,C005148,,,
314,B000483,C005275,,,
315,B000484,C005223,,,
316,B000485,C005220,,,
317,B000486,C004733,,,
318,B000488,C010631,,,
